LAT;;;;;46.6943;46.6943;46.6943;46.6943;46.6943;46.6943
LON;;;;;5.57451;5.57451;5.57451;5.57451;5.57451;5.57451
ASL;;;;;341.000;341.000;341.000;341.000;341.000;341.000
CITY;;;;;Chille;Chille;Chille;Chille;Chille;Chille
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc
NAME;;;;;Temperature;Relative Humidity;Total Precipitation;Snowfall amount raw;Total Cloud Cover;Shortwave Radiation
UNIT;;;;;°C;%;mm;cm;%;W/m2
AGGREGATION;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];Shortwave Radiation  [sfc]
2018;09;24;18;00;15.13;42.00;0.00;0.00;8.10;330.19
2018;09;24;19;00;13.49;45.00;0.00;0.00;8.40;165.54
2018;09;24;20;00;11.32;47.00;0.00;0.00;9.90;16.91
2018;09;24;21;00;10.36;47.00;0.00;0.00;12.60;0.00
2018;09;24;22;00;10.07;47.00;0.00;0.00;14.10;0.00
2018;09;24;23;00;9.69;48.00;0.00;0.00;11.40;0.00
2018;09;25;00;00;9.06;55.00;0.00;0.00;0.00;0.00
2018;09;25;01;00;8.90;58.00;0.00;0.00;98.00;0.00
2018;09;25;02;00;8.77;51.00;0.00;0.00;86.00;0.00
2018;09;25;03;00;8.46;46.00;0.00;0.00;72.00;0.00
2018;09;25;04;00;8.62;53.00;0.00;0.00;44.00;0.00
2018;09;25;05;00;8.32;58.00;0.00;0.00;0.00;0.00
2018;09;25;06;00;7.70;60.00;0.00;0.00;47.00;0.00
2018;09;25;07;00;7.09;64.00;0.00;0.00;9.00;0.00
2018;09;25;08;00;7.54;63.00;0.00;0.00;0.00;13.35
2018;09;25;09;00;9.59;56.00;0.00;0.00;0.00;152.19
2018;09;25;10;00;12.00;48.00;0.00;0.00;0.00;321.29
2018;09;25;11;00;14.05;42.00;0.00;0.00;0.00;469.92
2018;09;25;12;00;15.69;36.00;0.00;0.00;0.00;582.06
2018;09;25;13;00;17.11;32.00;0.00;0.00;0.00;655.04
2018;09;25;14;00;18.51;30.00;0.00;0.00;0.00;679.07
2018;09;25;15;00;19.01;31.00;0.00;0.00;0.00;653.26
2018;09;25;16;00;19.04;32.00;0.00;0.00;0.00;580.28
2018;09;25;17;00;18.60;32.00;0.00;0.00;0.00;465.47
2018;09;25;18;00;17.23;38.00;0.00;0.00;0.00;318.62
2018;09;25;19;00;14.11;50.00;0.00;0.00;0.00;149.52
